taskId;performed;employee_name;start_time;
T1;1;Ellen;742;
T2;1;Alexander;861;
T3;1;Fabian;702;
T4;1;Ellen;955;
T5;1;Carlotta;551;
T6;1;Alexander;558;
T7;1;Ellen;556;
T8;1;Ellen;615;
T9;1;Adam;591;
T10;1;Adam;678;
T11;1;Adam;988;
T12;1;Alexander;918;
T13;1;Fabian;482;
T14;1;Carlotta;835;
T15;1;Ellen;855;
T16;1;Carlotta;777;
T17;1;Ellen;789;
T18;1;Adam;892;
T19;1;Alexander;742;
T20;1;Alexander;680;
T21;1;Fabian;765;
T22;1;Ellen;1014;
T23;1;Carlotta;905;
T24;1;Adam;536;
T25;1;Carlotta;725;
T26;1;Adam;776;
T27;1;Ellen;662;
T28;1;Alexander;990;
T29;1;Fabian;617;
T30;1;Alexander;636;
T31;1;Alexander;797;
T32;1;Fabian;908;
T33;0;;;
T34;0;;;
T35;0;;;
